id_control,menu,control,icono,orden
2,Tareas,tareas,clouds-cloudy,8
3,NULL,perfiles,NULL,NULL
4,NULL,departamentos,NULL,NULL
5,NULL,proyectos,NULL,NULL
6,Productos,productos,archive-1,5
7,NULL,viabilidades,NULL,NULL
8,Proveedores,proveedores,delivery-transport-2,6
9,NULL,metricas,NULL,NULL
10,Clientes,clientes,organization,7
11,Empresa,empresa,database-1,1
12,NULL,tipos,NULL,NULL
13,NULL,sucursales,NULL,NULL
14,Empleados,empleados,torso,3
15,Recursos,recursos,download,12
16,Ventas,ventas,tag,9
17,NULL,formaspago,NULL,NULL
18,Usuarios,usuarios,users,4
19,Mantenimiento,mantenimiento,tools-1,11
20,NULL,promociones,NULL,10
21,NULL,grupoventas,NULL,NULL
22,NULL,vendedores,NULL,NULL
23,Prospectos,prospectos,puzzle,13
24,NULL,fsprospectos,NULL,NULL
25,NULL,monedas,NULL,NULL
26,NULL,locaciones,NULL,NULL
27,NULL,paquetes,NULL,NULL
28,Franquicias,franquicias,vcard,2
